Dates,Prices
10/31/20,10.10
11/30/20,10.30
12/31/20,11.00
01/31/21,10.90
02/28/21,10.90
03/31/21,10.90
04/30/21,10.40
05/31/21,9.84
06/30/21,10.00
07/31/21,10.10
08/31/21,10.30
09/30/21,10.20
10/31/21,10.10
11/30/21,11.20
12/31/21,11.40
01/31/22,11.50
02/28/22,11.80
03/31/22,11.50
04/30/22,10.70
05/31/22,10.70
06/30/22,10.40
07/31/22,10.50
08/31/22,10.40
09/30/22,10.80
10/31/22,11.00
11/30/22,11.60
12/31/22,11.60
01/31/23,12.10
02/28/23,11.70
03/31/23,12.00
04/30/23,11.50
05/31/23,11.20
06/30/23,10.90
07/31/23,11.40
08/31/23,11.10
09/30/23,11.50
10/31/23,11.80
11/30/23,12.20
12/31/23,12.80
01/31/24,12.60
02/29/24,12.40
03/31/24,12.70
04/30/24,12.10
05/31/24,11.40
06/30/24,11.50
07/31/24,11.60
08/31/24,11.50
09/30/24,11.80
